aweaw,t4a4ta4t,"((-9999,0),(1,99991))",10101,192.10,13,友達と会うので遅刻した,1010110001,60.298,46,2005-10-19 10:23:54
4f333df6,90a4-4fda-8dd3,"((-9999,0),(1,99991))",10101,46514.1,32,живетезелоземляиижеикаколюди,1646464,298.54,46,2005-10-19 10:23:54
ikjnhgvbhp,klmnopqr,GHIJKLMNOP,6546,0.0,12,いろはにほへどちりぬるをわがよたれぞつねならむ,13453,5.54,46,9999-12-31 23:59:59
bhdhhhaawp,`~!@#$%^,IrelandIRN,22,64.215,12,豆贝尔维克斯艾勒艾弗诶比迪吉吾艾儿,453453,545.28,46,2009-10-19 10:23:54
polkiuytxp,^&*()_+=,kwikdikwik,10434,4512.25145,5,Thequickbrownfoxjumpsoverthelazydog,6558,545.215,46,2005-10-19 10:23:54
ujdhggffap,-{}[]|:;,`~!@#$%^+=,545,66123.212512,6,常ならむ有為の奥山今日越えて浅き夢見,5846,3562021.2,46,2009-10-19 10:23:54
nbhgsbvaap,[]|:;<>?,[]|:;<>?(),-9223372036854775808,579589.221,7,ハンサム Đẹp trai,7845,6.8,46,2018-10-19 10:23:54
4wtw34af,AJW)#awef,dIvoiFijit,0,36416.2,0,6 years 5 months 4 days 3 hours 2 minutes 1,464586,545.2545,46,2018-10-19 10:23:54
er9rjoawje,Portugal,Eswatini I,0,0.0,1,友達と会うので遅刻した Ông là nhà văn,4634,23.2128,46,2012-10-19 10:23:54
tttttt4,IJKLMNOP,InBulgaria,151,54502124.2154,1,сковорода 鍋,786786,3.2298,46,2012-10-19 10:23:54
43q34qtqt,9awt0a4-4fda-8dd3,"((-9999,0),(1,99991))",10101,46514.1,32,живетезелоземляиижеикаколюди,1646464,298.54,46,2005-10-19 10:23:54
weawt,klmnopaweqr,2w3raewfaw,6546,0.0,12,いろはにほへどちりぬるをわがよたれぞつねならむ,13453,5.54,46,9999-12-31 23:59:59
asaw4taw4t,`~!@#$%^,IrelandIRN,22,64.215,12,豆贝尔维克斯艾勒艾弗诶比迪吉吾艾儿,453453,545.28,46,2009-10-19 10:23:54
aga443tse,^&*()_+=,kwikdikwik,10434,4512.25145,5,Thequickbrownfoxjumpsoverthelazydog,6558,545.215,46,2005-10-19 10:23:54
4trgrehtrhs,-{}[]|:;,`~!@#$%^+=,545,66123.212512,6,常ならむ有為の奥山今日越えて浅き夢見,5846,3562021.2,46,2009-10-19 10:23:54
a34ta4ta4t,[]|:;<>?,[]|:;<>?(),-9223372036854775808,579589.221,7,ハンサム Đẹp trai,7845,6.8,46,2018-10-19 10:23:54
jwoejaq'3[ra[]],Democrat,dIvoiFijit,0,36416.2,0,6 years 5 months 4 days 3 hours 2 minutes 1,464586,545.2545,46,2018-10-19 10:23:54
eta43te,Portugal,Eswatini I,0,0.0,1,(EKFA)WEFK)QWFKAPewf Ông là nhà văn,4634,23.2128,46,2012-10-19 10:23:54
aweta4t,4aega4t4ewtaw,A)#JAEWOFAW~!@#$%^&*()_,151,54502124.2154,1,сковорода 鍋,786786,3.2298,46,2012-10-19 10:23:54